hora,temp,light,soil
22:00:00,17.13,412615,20.48
22:00:03,17.13,412662,20.81
22:00:06,17.13,412709,20.15
22:00:09,17.14,412756,20.59
22:00:12,17.14,412802,20.73
22:00:15,17.14,412849,20.02
22:00:18,17.15,412896,20.96
22:00:21,17.15,412942,20.37
22:00:24,17.15,412989,20.69
22:00:27,17.16,413036,20.98
22:00:30,17.16,413082,20.21
22:00:33,17.16,413129,20.55
22:00:36,17.17,413176,20.87
22:00:39,17.17,413222,20.09
22:00:42,17.17,413269,20.43
22:00:45,17.18,413316,20.76
22:00:48,17.18,413362,20.29
22:00:51,17.18,413409,20.63
22:00:54,17.19,413456,20.95
22:00:57,17.19,413502,20.16
22:01:00,17.19,413549,20.50
22:01:03,17.20,413596,20.82
22:01:06,17.20,413642,20.06
22:01:09,17.20,413689,20.40
22:01:12,17.21,413736,20.73
22:01:15,17.21,413782,20.26
22:01:18,17.21,413829,20.59
22:01:21,17.22,413876,20.92
22:01:24,17.22,413922,20.12
22:01:27,17.22,413969,20.45
22:01:30,17.23,414016,20.78
22:01:33,17.23,414062,20.02
22:01:36,17.23,414109,20.37
22:01:39,17.24,414156,20.70
22:01:42,17.24,414202,20.23
22:01:45,17.24,414249,20.56
22:01:48,17.25,414296,20.89
22:01:51,17.25,414342,20.19
22:01:54,17.25,414389,20.52
22:01:57,17.26,414436,20.85
22:02:00,17.26,414482,20.09
22:02:03,17.26,414529,20.42
22:02:06,17.27,414576,20.75
22:02:09,17.27,414622,20.28
22:02:12,17.27,414669,20.61
22:02:15,17.28,414716,20.94
22:02:18,17.28,414762,20.14
22:02:21,17.28,414809,20.47
22:02:24,17.29,414856,20.80
22:02:27,17.29,414902,20.04
22:02:30,17.29,414949,20.39
22:02:33,17.30,414996,20.72
22:02:36,17.30,415042,20.25
22:02:39,17.30,415089,20.58
22:02:42,17.31,415136,20.91
22:02:45,17.31,415182,20.11
22:02:48,17.31,415229,20.44
22:02:51,17.32,415276,20.77
22:02:54,17.32,415322,20.01
22:02:57,17.32,415369,20.36
22:03:00,17.33,415416,20.69
22:03:03,17.33,415462,20.22
22:03:06,17.33,415509,20.55
22:03:09,17.34,415556,20.88
22:03:12,17.34,415602,20.18
22:03:15,17.34,415649,20.51
22:03:18,17.35,415696,20.84
22:03:21,17.35,415742,20.08
22:03:24,17.35,415789,20.41
22:03:27,17.36,415836,20.74
22:03:30,17.36,415882,20.27
22:03:33,17.36,415929,20.60
22:03:36,17.37,415976,20.93
22:03:39,17.37,416022,20.13
22:03:42,17.37,416069,20.46
22:03:45,17.38,416116,20.79
22:03:48,17.38,416162,20.03
22:03:51,17.38,416209,20.38
22:03:54,17.39,416256,20.71
22:03:57,17.39,416302,20.24
22:04:00,17.39,416349,20.57
22:04:03,17.40,416396,20.90
22:04:06,17.40,416442,20.10
22:04:09,17.40,416489,20.43
22:04:12,17.41,416536,20.76
22:04:15,17.41,416582,20.00
22:04:18,17.41,416629,20.35
22:04:21,17.42,416676,20.68
22:04:24,17.42,416722,20.21
22:04:27,17.42,416769,20.54
22:04:30,17.43,416816,20.87
22:04:33,17.43,416862,20.17
22:04:36,17.43,416909,20.50
22:04:39,17.44,416956,20.83
22:04:42,17.44,417002,20.06
22:04:45,17.44,417049,20.39
22:04:48,17.45,417096,20.72
22:04:51,17.45,417142,20.25
22:04:54,17.45,417189,20.58
22:04:57,17.46,417236,20.91
22:05:00,17.46,417282,20.11
22:05:03,17.46,417329,20.44
22:05:06,17.47,417376,20.77
22:05:09,17.47,417422,20.01
22:05:12,17.47,417469,20.36
22:05:15,17.48,417516,20.69
22:05:18,17.48,417562,20.22
22:05:21,17.48,417609,20.55
22:05:24,17.49,417656,20.88
22:05:27,17.49,417702,20.18
22:05:30,17.49,417749,20.51
22:05:33,17.50,417796,20.84
22:05:36,17.50,417842,20.08
22:05:39,17.50,417889,20.41
22:05:42,17.51,417936,20.74
22:05:45,17.51,417982,20.27
22:05:48,17.51,418029,20.60
22:05:51,17.52,418076,20.93
22:05:54,17.52,418122,20.13
22:05:57,17.52,418169,20.46
22:06:00,17.53,418216,20.79
22:06:03,17.53,418262,20.03
22:06:06,17.53,418309,20.38
22:06:09,17.54,418356,20.71
22:06:12,17.54,418402,20.24
22:06:15,17.54,418449,20.57
22:06:18,17.55,418496,20.90
22:06:21,17.55,418542,20.10
22:06:24,17.55,418589,20.43
22:06:27,17.56,418636,20.76
22:06:30,17.56,418682,20.00
